text,label,clean_text
!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...,normal,rt as a woman you shouldnt complain about cleaning up your house amp as a man you should always take the trash out
!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!,offensive,rt boy dats coldtyga dwn bad for cuffin dat hoe in the st place
!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit,offensive,rt dawg rt you ever fuck a bitch and she start to cry you be confused as shit
!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny,offensive,rt she look like a tranny
!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;,offensive,rt the shit you hear about me might be true or it might be faker than the bitch who told it to ya
"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;""",offensive,the shit just blows meclaim you so faithful and down for somebody but still fucking with hoes
"!!!!!!""@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!""",offensive,i can not just sit up and hate on another bitch i got too much shit going on
!!!!&#8220;@selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!&#8221;,offensive,cause im tired of you big bitches coming for us skinny girls
""" &amp; you might not get ya bitch back &amp; thats that """,offensive,amp you might not get ya bitch back amp thats that
""" @rhythmixx_ :hobbies include: fighting Mariam""

bitch",offensive,hobbies include fighting mariam bitch
""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh",offensive,keeks is a bitch she curves everyone lol i walked into a conversation like this smh
""" Murda Gang bitch its Gang Land """,offensive,murda gang bitch its gang land
""" So hoes that smoke are losers ? "" yea ... go on IG",offensive,so hoes that smoke are losers yea go on ig
""" bad bitches is the only thing that i like """,offensive,bad bitches is the only thing that i like
""" bitch get up off me """,offensive,bitch get up off me
""" bitch nigga miss me with it """,offensive,bitch nigga miss me with it
""" bitch plz whatever """,offensive,bitch plz whatever
""" bitch who do you love """,offensive,bitch who do you love
""" bitches get cut off everyday B """,offensive,bitches get cut off everyday b
""" black bottle &amp; a bad bitch """,offensive,black bottle amp a bad bitch
""" broke bitch cant tell me nothing """,offensive,broke bitch cant tell me nothing
""" cancel that bitch like Nino """,offensive,cancel that bitch like nino
""" cant you see these hoes wont change """,offensive,cant you see these hoes wont change
""" fuck no that bitch dont even suck dick "" &#128514;&#128514;&#128514; the Kermit videos bout to fuck IG up",offensive,fuck no that bitch dont even suck dick the kermit videos bout to fuck ig up
""" got ya bitch tip toeing on my hardwood floors "" &#128514; http://t.co/cOU2WQ5L4q",offensive,got ya bitch tip toeing on my hardwood floors
""" her pussy lips like Heaven doors "" &#128524;",offensive,her pussy lips like heaven doors
""" hoe what its hitting for """,offensive,hoe what its hitting for
""" i met that pussy on Ocean Dr . i gave that pussy a pill "" &#128524;",offensive,i met that pussy on ocean dr i gave that pussy a pill
""" i need a trippy bitch who fuck on Hennessy """,offensive,i need a trippy bitch who fuck on hennessy
""" i spend my money how i want bitch its my business """,offensive,i spend my money how i want bitch its my business
""" i txt my old bitch my new bitch pussy wetter """,offensive,i txt my old bitch my new bitch pussy wetter
""" i'd say im back to the old me but my old bitches would get excited "" &#128524;",offensive,id say im back to the old me but my old bitches would get excited
""" if you aint bout that Murder Game pussy nigga shut up """,offensive,if you aint bout that murder game pussy nigga shut up
""" if you're toes ain't done you pussy stinks """,offensive,if youre toes aint done you pussy stinks
""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """,offensive,im done with bitter bitches its a wrap for that if you a angry bird theres a app for that
""" is that ya bitch """,offensive,is that ya bitch
""" it aint nothing to cut a bitch off """,offensive,it aint nothing to cut a bitch off
""" jus meet son now he ya mane ass bitches "" #Shots",offensive,jus meet son now he ya mane ass bitches shots
""" lames crying over hoes thats tears of a clown """,offensive,lames crying over hoes thats tears of a clown
""" like Snoop said in 94 we dont love these hoes """,offensive,like snoop said in we dont love these hoes
""" momma said no pussy cats inside my doghouse """,normal,momma said no pussy cats inside my doghouse
""" most hated but the hoes favorite "" #2MW #SevenOne # http://t.co/BMdSVMc3rC",offensive,most hated but the hoes favorite mw sevenone
""" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"" http://t.co/bzRDl3kF7U",offensive,nice girls bad make me get naughty bad yello hoe real nice body down south chick like em real thick
""" pimps up pimps up hoes down "" Future voice",offensive,pimps up pimps up hoes down future voice
""" post a picture of that pussy get 200 likes """,offensive,post a picture of that pussy get likes
""" pussy is a powerful drug "" &#128517; #HappyHumpDay http://t.co/R8jsymiB5b",offensive,pussy is a powerful drug happyhumpday
""" quick piece of pussy call it a drive by """,offensive,quick piece of pussy call it a drive by
""" running round here like some brand new pussy thats bout to get fucked """,offensive,running round here like some brand new pussy thats bout to get fucked
""" these bitches even worst they'll send them guys for you """,offensive,these bitches even worst theyll send them guys for you
""" these hoes like niggas that spend money not talk bout it """,offensive,these hoes like niggas that spend money not talk bout it
""" we dont trust these niggas all these bitches """,offensive,we dont trust these niggas all these bitches
""" yall niggas b cuffing hoes cause yall aint never have bitches """,offensive,yall niggas b cuffing hoes cause yall aint never have bitches
""" you dodge a bullet "" &#128517; &#8220;@DaRealKha: ""All da bitches I cut off pregnant or bound to be ....thank God &#128591;""&#8221;",offensive,you dodge a bullet all da bitches i cut off pregnant or bound to be thank god
""" young Pill Chamberlain these bitches love my music """,offensive,young pill chamberlain these bitches love my music
"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@VandalSavage_: Teanna Trump probably cleaner than most of these twitter hoes but.........""",offensive,teanna trump probably cleaner than most of these twitter hoes but
"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@DaHomieFuzz: Gay niggas couldn't wait to act like bitches tonight""",offensive,gay niggas couldnt wait to act like bitches tonight
"""&#128514;&#128514;&#128514;@The_Paradox: And ima steal his cat n replace it with a pitbull &#128514;&#128514;&#128514;&#128514; RT @80sbaby4life: @The_Paradox He a bitch you should do it""",offensive,and ima steal his cat n replace it with a pitbull rt he a bitch you should do it
"""&amp; he's gone always be a hoe""",offensive,amp hes gone always be a hoe
"""...Son of a bitch took my Tic Tacs.""

I like this movie.",offensive,son of a bitch took my tic tacs i like this movie
"""..All I wanna do is get money and fuck model bitches!"" - Russell Simmons",offensive,all i wanna do is get money and fuck model bitches russell simmons
"""@2015seniorprobs: I probably wouldn&#8217;t mind school as much if we didn&#8217;t have to deal with bitch ass teachers"". Retweet",offensive,i probably wouldnt mind school as much if we didnt have to deal with bitch ass teachers retweet
"""@A7XDemery: I'm a fucking fag they said""",offensive,im a fucking fag they said
"""@ARIZZLEINDACUT: Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz"" how does doing this stuff make him a pussy?",offensive,females think dating a pussy is cute now how does doing this stuff make him a pussy
"""@Addicted2Guys: -SimplyAddictedToGuys http://t.co/1jL4hi8ZMF"" woof woof hot scally lad",normal,simplyaddictedtoguys woof woof hot scally lad
"""@AdoreBellaaa: Have ya ever asked your bitch for other bitches - kanye voice"" Yes",offensive,have ya ever asked your bitch for other bitches kanye voice yes
"""@AdoreZoey: How u gone bring ur side bitch to a game where You know Ya gf friends at ?! &#128553;&#128553;&#128553;&#128553;"" I SWEAR!!!!!",offensive,how u gone bring ur side bitch to a game where you know ya gf friends at i swear
"""@AllAboutManFeet: http://t.co/3gzUpfuMev"" woof woof and hot soles",normal,woof woof and hot soles
"""@Allyhaaaaa: Lemmie eat a Oreo &amp; do these dishes."" One oreo? Lol",normal,lemmie eat a oreo amp do these dishes one oreo lol
