Text,Label,clean_text
Teri aukaat kya hai samjhta hai?,hindi,teri aukaat kya hai samjhta hai
Bakwas band kar.,hindi,bakwas band kar
"मेरा मतलब यह है-यह आप के लिए स्पष्ट रूप से बहुत, बहुत महत्वपूर्ण है, हम के लिए!",hindi,मेरा मतलब यह हैयह आप के लिए स्पष्ट रूप से बहुत बहुत महत्वपूर्ण है हम के लिए
उसका जवाब मशीन?,hindi,उसका जवाब मशीन
Bakwas band kar.,hindi,bakwas band kar
Tum bahut accha kaam karte ho.,english,tum bahut accha kaam karte ho
Itna irritating koi kaise ho sakta hai?,hindi,itna irritating koi kaise ho sakta hai
Bas kar bhosdiwale.,hindi,bas kar bhosdiwale
Bohot badiya presentation tha!,english,bohot badiya presentation tha
"Nice effort, proud of you.",english,nice effort proud of you
Kamaal kar diya bhai!,english,kamaal kar diya bhai
You're such a loser yaar.,hindi,youre such a loser yaar
Teri aukaat kya hai samjhta hai?,hindi,teri aukaat kya hai samjhta hai
मैनहैटन में पर्याप्त दुकानें नहीं हैं।,hindi,मैनहैटन में पर्याप्त दुकानें नहीं हैं।
Keep it up buddy!,english,keep it up buddy
Kamaal kar diya bhai!,english,kamaal kar diya bhai
"Nice effort, proud of you.",english,nice effort proud of you
"Good job, well done!",english,good job well done
You're awesome!,english,youre awesome
हमें बेहतर है कि हम ऊपर या कि धब्बा सेट करने के लिए जा रहा है इन  pants को उतारने के लिए।,hindi,हमें बेहतर है कि हम ऊपर या कि धब्बा सेट करने के लिए जा रहा है इन pants को उतारने के लिए।
मेरे अंतिम जन्मदिन के लिए तुम मुझे एक दिया,hindi,मेरे अंतिम जन्मदिन के लिए तुम मुझे एक दिया
"ठीक है, मैं सिर्फ सोचा था कि यह मेरे दोस्त के लिए कुछ अच्छा करने के लिए मुझे अच्छा लगता है।",hindi,ठीक है मैं सिर्फ सोचा था कि यह मेरे दोस्त के लिए कुछ अच्छा करने के लिए मुझे अच्छा लगता है।
Nikal yahan se madarchod.,hindi,nikal yahan se madarchod
"मुझे डर है कि मैं तुम्हें ऐसा नहीं कर सकता, जो।",hindi,मुझे डर है कि मैं तुम्हें ऐसा नहीं कर सकता जो।
Idiot kahi ka!,hindi,idiot kahi ka
Thanks for your support yaar.,english,thanks for your support yaar
Kamaal kar diya bhai!,english,kamaal kar diya bhai
"लेकिन मुझे विश्वास करें, कि आज नहीं होने जा रहा है।",hindi,लेकिन मुझे विश्वास करें कि आज नहीं होने जा रहा है।
Tum bahut accha kaam karte ho.,english,tum bahut accha kaam karte ho
Thanks for your support yaar.,english,thanks for your support yaar
Idiot kahi ka!,hindi,idiot kahi ka
क्या वे मुझे यह करने के लिए प्रतीक्षा कर रहे हैं?,hindi,क्या वे मुझे यह करने के लिए प्रतीक्षा कर रहे हैं
You're awesome!,english,youre awesome
"ठीक है, ठीक है. यह कुछ समय के लिए चला जा सकता है.",hindi,ठीक है ठीक है यह कुछ समय के लिए चला जा सकता है
हे-हे.,hindi,हेहे
Thanks for your support yaar.,english,thanks for your support yaar
Tere jaisa chutiya maine nahi dekha.,hindi,tere jaisa chutiya maine nahi dekha
Kamaal kar diya bhai!,english,kamaal kar diya bhai
क्या हो रहा है?,hindi,क्या हो रहा है
"Bas kar nautanki, dimag kharab kar diya.",hindi,bas kar nautanki dimag kharab kar diya
Tujhe sharam nahi aati?,hindi,tujhe sharam nahi aati
"अब, मैं एक अभिनेता के रूप में कभी भी रोने के लिए सक्षम नहीं हो गया है, तो अगर मैं एक दृश्य में हूँ जहां मुझे रोना है, मैं अपने जेब में एक छेद काटता हूँ, एक जोड़ी ट्विजर ले लो, और सिर्फ pulling शुरू कर दिया है।",hindi,अब मैं एक अभिनेता के रूप में कभी भी रोने के लिए सक्षम नहीं हो गया है तो अगर मैं एक दृश्य में हूँ जहां मुझे रोना है मैं अपने जेब में एक छेद काटता हूँ एक जोड़ी ट्विजर ले लो और सिर्फ pulling शुरू कर दिया है।
"ओह, आप ऐसा कर सकते हैं! ओह, आप कि वैसे भी मिल जाना चाहिए. क्लबिंग के लिए की तरह.",hindi,ओह आप ऐसा कर सकते हैं ओह आप कि वैसे भी मिल जाना चाहिए क्लबिंग के लिए की तरह
You're one of the kindest souls I know.,english,youre one of the kindest souls i know
"ओह, मेरा बड़ा दृश्य आ रहा है. बड़ा दृश्य आ रहा है.",hindi,ओह मेरा बड़ा दृश्य आ रहा है बड़ा दृश्य आ रहा है
"नहीं, उन्होंने कहा था कि तुम एक आदमी के रूप में विश्वास योग्य नहीं थे। तो, आप उस पर काम कर सकते हैं।",hindi,नहीं उन्होंने कहा था कि तुम एक आदमी के रूप में विश्वास योग्य नहीं थे। तो आप उस पर काम कर सकते हैं।
क्या यह इसलिए है कि उस पांक रोस तुम से शादी नहीं करेगा?,hindi,क्या यह इसलिए है कि उस पांक रोस तुम से शादी नहीं करेगा
You're awesome!,english,youre awesome
You're such a loser yaar.,hindi,youre such a loser yaar
Tujhe gaali bhi dena bekaar hai.,hindi,tujhe gaali bhi dena bekaar hai
नहीं।,hindi,नहीं।
Teri aukaat kya hai chutiye?,hindi,teri aukaat kya hai chutiye
You're awesome!,english,youre awesome
Bakwas band kar.,hindi,bakwas band kar
Idiot kahi ka!,hindi,idiot kahi ka
"ठीक है, सज्जनो!",hindi,ठीक है सज्जनो
Keep it up buddy!,english,keep it up buddy
You're one of the kindest souls I know.,english,youre one of the kindest souls i know
Tum jaise logon se baat nahi karte.,hindi,tum jaise logon se baat nahi karte
Kamaal kar diya bhai!,english,kamaal kar diya bhai
You're one of the kindest souls I know.,english,youre one of the kindest souls i know
अच्छा!,hindi,अच्छा
Teri behen ki chut mein dard hai kya?,hindi,teri behen ki chut mein dard hai kya
"ठीक है, मैं जा रहा हूँ. ठीक है, कॉलेज के वरिष्ठ वर्ष... एक तालाब मेज पर.",hindi,ठीक है मैं जा रहा हूँ ठीक है कॉलेज के वरिष्ठ वर्ष एक तालाब मेज पर
Teri maa ka bhosda.,hindi,teri maa ka bhosda
"ओह, मैं",hindi,ओह मैं
Tu to ekdum nalayak hai bhenchod.,hindi,tu to ekdum nalayak hai bhenchod
You're awesome!,english,youre awesome
"चलो, मुझे एक अच्छा कारण दीजिए कि तुम क्यों नहीं जाना चाहते।",hindi,चलो मुझे एक अच्छा कारण दीजिए कि तुम क्यों नहीं जाना चाहते।
Idiot kahi ka!,hindi,idiot kahi ka
ओह-हाय!,hindi,ओहहाय
